_deriv,_term,_predict,_at,_atopt,_margin,_se_margin,_statistic,_pvalue,_ci_lb,_ci_ub,_at1,_at2,_at3,_at4,_at5,_at6,_at7,_at8,_at9
,_cons,,1,windspeed_predicted=(70(5)145),.38278237,1.8198996,.2103316,.8348797,-3.33933,4.1048946,70,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,2,windspeed_predicted=(70(5)145),-1.7278281,1.7055608,-1.0130558,.3194117,-5.2160916,1.7604352,75,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,3,windspeed_predicted=(70(5)145),-3.579303,1.6865938,-2.1222081,.042483959,-7.0287747,-.1298313,80,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,4,windspeed_predicted=(70(5)145),-5.1716423,1.7245923,-2.9987621,.0055162036,-8.6988297,-1.6444547,85,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,5,windspeed_predicted=(70(5)145),-6.5048456,1.7836485,-3.6469324,.0010337298,-10.152817,-2.8568747,90,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,6,windspeed_predicted=(70(5)145),-7.5789132,1.8379762,-4.1235099,.00028579374,-11.337996,-3.8198297,95,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,7,windspeed_predicted=(70(5)145),-8.3938456,1.8721362,-4.4835653,.00010625168,-12.222794,-4.5648966,100,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,8,windspeed_predicted=(70(5)145),-8.9496412,1.8789437,-4.763124,.00004898406,-12.792513,-5.1067705,105,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,9,windspeed_predicted=(70(5)145),-9.2463026,1.8579508,-4.976613,.000027070108,-13.046238,-5.4463663,110,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,10,windspeed_predicted=(70(5)145),-9.2838268,1.8152609,-5.1143212,.000018460418,-12.996452,-5.5712018,115,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,11,windspeed_predicted=(70(5)145),-9.0622158,1.7646608,-5.1353869,.000017410488,-12.671352,-5.4530797,120,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,12,windspeed_predicted=(70(5)145),-8.5814695,1.7294443,-4.9619808,.000028193739,-12.118581,-5.0443592,125,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,13,windspeed_predicted=(70(5)145),-7.8415875,1.7426573,-4.4997873,.00010159455,-11.405722,-4.2774529,130,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,14,windspeed_predicted=(70(5)145),-6.8425698,1.8414384,-3.715883,.00086021103,-10.608734,-3.0764053,135,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,15,windspeed_predicted=(70(5)145),-5.5844159,2.0544438,-2.7182128,.010961466,-9.7862253,-1.3826064,140,.o,.o,.o,.o,.o,.o,.o,.o
,_cons,,16,windspeed_predicted=(70(5)145),-4.0671268,2.3921604,-1.7001897,.099797696,-8.9596443,.82539088,145,.o,.o,.o,.o,.o,.o,.o,.o
