session,ws,y
1,141.7555670639557,.74074072
2,87.39160855390672,.037037037
3,140.8546885070234,.77777779
4,80.7377324117458,.23999999
5,133.7343908538684,.8888889
6,87.42144705548742,.22222222
7,77.00356285170099,.18518518
8,133.8501565080747,.74074072
9,139.8349766765771,1
10,134.1471881010345,.81481481
11,84.2524804166801,.37037036
12,76.07783589244904,.22222222
13,72.73183380590824,.34615386
14,69.69491692936384,.18518518
15,140.4324507104338,.92307693
16,133.9352421626175,.7037037
17,112.006584590954,.66666669
18,73.56700128402576,.25925925
19,133.5080561626181,.8888889
20,109.8225470841363,.5925926
21,134.219602535063,.77777779
22,142.8493499525475,1
23,137.1522826723432,.74074072
24,68.66525312018275,.18518518
25,134.0686020043791,.74074072
26,80.03746729578064,.2962963
27,73.0051118926912,.18518518
28,89.51562581535393,.22222222
29,145.1941852924757,.96296299
30,82.77040106508025,.2962963
